       8,   0.994262,  -0.023012,  -0.200757
      11,   0.994506,  -0.023500,  -0.199658
      11,   0.995361,  -0.025575,  -0.196362
      23,   0.997192,  -0.025697,  -0.195263
      24,   0.995971,  -0.024110,  -0.196606
      25,   0.994873,  -0.030336,  -0.196850
      26,   0.986694,  -0.032167,  -0.185009
      28,   0.984008,  -0.034121,  -0.182323
      29,   0.986571,  -0.034609,  -0.182445
      30,   0.991210,  -0.036074,  -0.186230
      31,   0.994873,  -0.038393,  -0.192578
      33,   0.996948,  -0.038516,  -0.195752
      34,   0.999268,  -0.037661,  -0.195263
      35,   1.000000,  -0.036318,  -0.196484
      36,   0.999756,  -0.033510,  -0.198193
      38,   0.996460,  -0.031069,  -0.197583
      39,   0.993896,  -0.029970,  -0.195996
      40,   0.990356,  -0.030580,  -0.193066
      41,   0.988403,  -0.030947,  -0.189892
      43,   0.989135,  -0.028505,  -0.189160
      44,   0.989135,  -0.025819,  -0.190746
      45,   0.989868,  -0.025819,  -0.190380
      46,   0.990844,  -0.026308,  -0.188915
      48,   0.990112,  -0.026552,  -0.189037
      49,   0.990478,  -0.027895,  -0.190258
      50,   0.992919,  -0.029360,  -0.192944
      51,   0.997314,  -0.031313,  -0.196484
      53,   1.000000,  -0.034365,  -0.198682
      54,   1.000000,  -0.036074,  -0.200879
      55,   1.000000,  -0.035830,  -0.205762
      56,   1.000000,  -0.034975,  -0.209180
      58,   1.000000,  -0.035097,  -0.208448
      59,   1.000000,  -0.037661,  -0.206128
      60,   1.000000,  -0.041690,  -0.204175
      61,   0.998291,  -0.042788,  -0.203809
      63,   0.994629,  -0.040347,  -0.201367
      64,   0.989379,  -0.039614,  -0.196972
      65,   0.985717,  -0.041568,  -0.194775
      66,   0.986327,  -0.043643,  -0.196240
      68,   0.988036,  -0.045474,  -0.198804
      69,   0.987670,  -0.046084,  -0.199658
      70,   0.988158,  -0.044375,  -0.199658
      71,   0.989990,  -0.043399,  -0.198071
      73,   0.991821,  -0.044009,  -0.197339
      74,   0.995361,  -0.044742,  -0.200391
      75,   0.998657,  -0.045474,  -0.203321
      76,   0.999023,  -0.046206,  -0.205274
      78,   0.997558,  -0.045718,  -0.206495
      79,   0.995727,  -0.042544,  -0.204663
      80,   0.994384,  -0.038882,  -0.203931
      81,   0.993042,  -0.036562,  -0.205884
      83,   0.991455,  -0.034853,  -0.206006
      84,   0.989623,  -0.033388,  -0.202710
      85,   0.988158,  -0.032778,  -0.199780
      86,   0.985595,  -0.032167,  -0.200513
      88,   0.984130,  -0.031435,  -0.202344
      89,   0.985595,  -0.033266,  -0.202588
      90,   0.987182,  -0.036074,  -0.201245
      91,   0.988281,  -0.035708,  -0.199536
      93,   0.987304,  -0.033755,  -0.199902
      94,   0.986449,  -0.032900,  -0.200513
      95,   0.986816,  -0.031801,  -0.201245
      96,   0.988403,  -0.030214,  -0.205030
      98,   0.989745,  -0.028871,  -0.206861
      99,   0.989745,  -0.027773,  -0.204785
     100,   0.990966,  -0.029726,  -0.203443
     101,   0.993164,  -0.033266,  -0.204053
     103,   0.995483,  -0.033632,  -0.206495
     104,   0.997925,  -0.028749,  -0.209180
     105,   0.999512,  -0.023378,  -0.209180
